Label Code,Artist,Title,Label,Format,Released,Date Added
JE 35543,The Clash,Give 'Em Enough Rope,Epic,"LP, Album, 1st",1978,2014-01-21 22:04:03
M7-895R1,David Ruffin,At His Best,Motown,"LP, Comp",1978,2015-06-30 17:51:00
"PD-1-6184, 2391 385",Gloria Gaynor,Love Tracks,"Polydor, Polydor","LP, Album",1978,2014-01-16 14:15:25
SD 38-120,Gary Numan,The Pleasure Principle,"ATCO Records, Beggars Banquet","LP, Album, SP",1979,2014-01-23 21:53:26
SO-511948,The Knack (3),Get The Knack,Capitol Records,"LP, Album, Club",1979,2014-01-26 22:55:21
"CBS CLASH 3, S CBS CLASH 3",The Clash,London Calling,"CBS, CBS","2xLP, Album",1979,2014-01-15 18:06:25
CHE 1236,Pat Benatar,In The Heat Of The Night,Chrysalis,"LP, Album",1979,2014-01-11 10:16:04
FC 35797,Journey,Evolution,Columbia,"LP, Album",1979,2014-01-16 10:52:42
"FC 36121, 36121",Neil Diamond,September Morn,"Columbia, Columbia","LP, Album",1979,2014-01-22 12:50:57
"JC 35709, 35709",Elvis Costello & The Attractions,Armed Forces,"Columbia, Columbia","LP, Album",1979,2014-01-21 22:26:09
BB-702,Queen,Live Killers,Elektra,"2xLP, Album, Gat",1979,2014-01-26 23:18:33
P-9003,Pointer Sisters,Priority,Planet Records (5),"LP, Album",1979,2014-01-26 23:20:54
PD-1-6211,Bram Tchaikovsky,"Strange Man, Changed Man",Polydor,"LP, Album",1979,2014-01-26 23:51:31
AFL1-3429,City Streets,Livin' In The Jungle,RCA,"LP, Album",1979,2014-01-14 19:46:58
SF 4,Sham 69,I Don't Wanna,Step-Forward Records,"12"", RE",1979,2014-01-26 23:05:30
"CDL TT 5001, CDL TT5001",The Specials,Specials,"Two-Tone Records, Two-Tone Records","LP, Album",1979,2014-01-26 23:40:42
SP-3720,The Police,Zenyatta Mondatta,A&M Records,"LP, Album, Y",1980,2014-01-26 23:20:50
SOO-12045,The Knack (3),...But The Little Girls Understand,Capitol Records,"LP, Album",1980,2014-01-26 22:55:18
CHR 1270,Stiff Little Fingers,Nobody's Heroes,Chrysalis,"LP, Album",1980,2016-02-25 21:25:45
CHR 1274,The Selecter,Too Much Pressure,Chrysalis,"LP, Album",1980,2014-01-26 23:25:13
PV 41274,The Selecter,Too Much Pressure,Chrysalis,"LP, Album, RE",1980,2014-05-03 09:57:53
CHR 1303,The Specials,More Specials,"Chrysalis, Two-Tone Records","LP, Album",1980,2014-01-26 23:52:10
JE 36381,Patti LaBelle,Released,Epic,"LP, Album",1980,2014-01-26 22:46:19
4E 36846,The Clash,Black Market Clash,"Epic, Nu Disk","10"", Comp",1980,2013-11-22 10:00:29
INT 146.701,UB40,The Singles Album,Graduate Records,"LP, Comp",1980,2011-05-21 19:50:11
M8-936M1,Diana Ross,Diana,Motown,"LP, Album, Gat",1980,2014-01-22 12:46:50
RS-2-4201,"John Williams (4), The London Symphony Orchestra",Star Wars / The Empire Strikes Back,RSO,"2xLP, Album",1980,2014-01-23 09:20:48
SRK 6094,Madness,Absolutely,Sire,"LP, Album",1980,2014-09-27 17:45:26
TK 612,KC & The Sunshine Band,Greatest Hits,T.K. Records,"LP, Comp",1980,2014-01-16 10:47:08
TC 37548,"Earth, Wind & Fire",Raise!,"ARC (3), Columbia","LP, Album, Gat",1981,2014-01-22 18:18:52
SD 16033,AC/DC,Dirty Deeds Done Dirt Cheap,Atlantic,"LP, Album, Club",1981,2014-01-10 18:01:03
SD 2-7005,Various,Concerts For The People Of Kampuchea,Atlantic,"2xLP, Album",1981,2014-01-23 09:10:21
fv 41346,Pat Benatar,Precious Time,Chrysalis,LP,1981,2014-01-11 11:01:54
TC 37408,Journey,Escape,Columbia,"LP, Album",1981,2014-01-16 11:55:09
5E-567,The Cars,Shake It Up,Elektra,"LP, Album",1981,2014-01-15 18:25:44
SP 70021,Go-Go's,Beauty And The Beat,I.R.S. Records,"LP, Album",1981,2014-01-16 17:47:39
FC 37728,Toto,Toto IV,Columbia,"LP, Album",1982,2014-01-27 15:01:02
ST-17070,Stray Cats,Built For Speed,EMI America,"LP, Album",1982,2011-04-18 08:12:35
"FE 37689, FMLN 2",The Clash,Combat Rock,"Epic, Epic","LP, Album, 2nd",1982,2014-01-21 21:59:06
92 37011,The Time,What Time Is It?,Warner Bros. Records,"LP, Album",1982,2011-05-21 19:38:04
"1-23701, 9 23701-1",The Time,What Time Is It?,"Warner Bros. Records, Warner Bros. Records","LP, Album",1982,2014-01-26 23:51:12
SP-4955,UB40,1980-1983,A&M Records,"LP, Comp",1983,2015-06-30 17:37:28
FV 41377,Billy Idol,Billy Idol,Chrysalis,"LP, Album",1983,2014-01-16 14:32:00
FV 41450,Billy Idol,Rebel Yell,Chrysalis,"LP, Album",1983,2014-01-16 14:29:43
TC 38367,"Earth, Wind & Fire",Powerlight,Columbia,"LP, Album",1983,2014-01-22 18:21:10
LP DEP 5,UB40,Labour Of Love,DEP International,"LP, Album",1983,2011-05-21 19:47:47
Dischord 10,Minor Threat,Out Of Step,Dischord Records,"12"", EP, RM, RP, Rem",1983,2014-01-23 18:01:39
E1047,Agent Orange (7),When You Least Expect It...,"Enigma Records (3), What Records?","12""",1983,2011-04-18 08:05:23
GHS 4003,Madness,Madness,Geffen Records,"LP, Comp",1983,2014-01-26 22:40:02
SP 70038,Skafish,Conversation,I.R.S. Records,"LP, Album",1983,2014-01-26 23:02:27
5313ML,The Supremes,Great Songs And Performances That Inspired The Motown 25th Anniversary T.V. Special,Motown,"LP, Comp",1983,2014-01-26 23:25:09
1-23933,Fear (3),The Record,Slash,"LP, Album, RE",1983,2016-03-13 22:57:14
SJ-383,The Beatles,Abbey Road,Capitol Records,"LP, Album, RE,  ",1984,2011-05-07 21:04:59
60296-1,The Cars,Heartbeat City,Elektra,"LP, Album, Gat",1984,2011-05-07 21:07:50
GHS 4022,Madness,Keep Moving,Geffen Records,"LP, Album",1984,2014-01-26 22:54:41
MCA-5487,Men Without Hats,Folk Of The 80's (Part III),MCA Records,"LP, Album",1984,2014-01-24 09:05:37
"UPLP 6, UP LP 6",The Higsons,The Curse Of The Higsons,"Upright Records, Upright Records","LP, Album",1984,2014-01-16 11:54:13
"1-25109, 9 25109-1",The Time,Ice Cream Castle,"Warner Bros. Records, Warner Bros. Records","LP, Album",1984,2014-01-27 14:57:45
B6C 40032 / AL 40032,Fishbone,Fishbone,Columbia,"12"", EP",1985,2011-03-17 07:28:38
FC\AL- 40101,Elvis Costello & The Attractions,The Best Of Elvis Costello And The Attractions,Columbia,"LP, Comp",1985,2011-05-21 19:44:15
FC40101,Elvis Costello,The Best Of Elvis Costello And The Attractions,Columbia,"LP, Comp",1985,2014-01-21 22:26:38
ST-E-60405-1,The Sisters Of Mercy,First And Last And Always,Elektra,"LP, Album",1985,2014-06-27 18:34:11
FE 40017,The Clash,Cut The Crap,Epic,"LP, Album",1985,2011-03-17 07:40:33
"BYO 014, 08",7 Seconds,New Wind,"Better Youth Organization, Positive Force Records","LP, Album",1986,2014-01-10 18:18:42
38-06135,Jimmy Cliff & Elvis Costello & The Attractions,Seven-Day Weekend,Columbia,"7"", Promo",1986,2013-12-02 16:12:23
7 90520-1,Bob Marley & The Wailers,Rebel Music,Island Records,"LP, Comp",1986,2014-01-26 22:35:50
LLM 3000,The Damned,Strawberries,Legacy Records,"LP, Album, RE, Red",1986,2014-01-21 22:10:59
MCA-36016,The Untouchables (7),Dance Party,MCA Records,"12"", EP",1986,2014-01-05 10:48:43
SST 086,Gone (2),Gone II - But Never Too Gone!,SST Records,"LP, Album",1986,2014-09-16 18:55:43
STERNS 1017,Alpha Blondy,Apartheid Is Nazism,Stern's Africa,"LP, Album",1986,2014-01-05 11:13:15
"81796-1, 7 81796-1",INXS,Kick,"Atlantic, Atlantic","LP, Album, Gat",1987,2014-01-21 12:51:08
9 60726-1,Billy Bragg,Back To Basics,Elektra,"2xLP, Comp",1987,2014-02-08 21:12:33
"9 60738-1, 60738-1","10,000 Maniacs",In My Tribe,"Elektra, Elektra","LP, Album",1987,2014-06-27 18:29:56
ELT-48036,Red Hot Chili Peppers,The Uplift Mofo Party Plan,"EMI America, EMI-Manhattan Records","LP, Album",1987,2014-01-05 10:47:11
MDC5,MDC (2),This Blood's For You,R Radical Records,"LP, Album",1987,2014-01-26 22:54:19
"none, WB 022",MDC (2),This Blood's For You,"R Radical Records, We Bite Records","LP, Album",1987,2011-05-07 21:14:29
88561-8160-1,Circle Jerks,VI,Relativity,"LP, Album",1987,2014-01-14 19:45:50
"1-25641, 9 25641-1",Ramones,Halfway To Sanity,"Sire, Sire","LP, Album",1987,2014-01-26 23:24:44
"C 40891, FC 40891",Fishbone,Truth And Soul,"Columbia, Columbia","LP, Album",1988,2011-03-17 07:30:50
"60812-1, 9 60812-1",Metallica,...And Justice For All,"Elektra, Elektra","2xLP, Album",1988,2014-01-24 09:00:17
"9 60774-1 , 60774-1",Tracy Chapman,Tracy Chapman,"Elektra, Elektra","LP, Album",1988,2014-01-15 09:20:41
"0-20869, 9 20869-0",New Order,Blue Monday 1988,"Qwest Records, Qwest Records","12"", Maxi",1988,2014-01-23 21:52:46
9 25819 1,Violent Femmes,3,Slash,"LP, Album",1988,2011-05-21 19:46:05
AR-005,Various,Beautiful Music For Beautiful People,Amity Records,"10"", Comp, Cle",1989,2014-03-31 11:32:02
"DISCHORD 35, Dischord 35",Fugazi,Margin Walker,"Dischord Records, Dischord Records","12"", EP",1989,2014-01-21 13:02:52
"9 60815-1, 60815-1","10,000 Maniacs",Blind Man's Zoo,"Elektra, Elektra","LP, Album",1989,2014-01-10 18:06:25
E1-92152,Red Hot Chili Peppers,Mother's Milk,EMI USA,"LP, Album",1989,2014-01-21 16:25:03
SFNT 020,The Stranglers,The Radio 1 Sessions - The Evening Show,Strange Fruit,"12""",1989,2014-01-26 23:51:59
"TVT 2610-1, TVT 2610",Nine Inch Nails,Pretty Hate Machine,"TVT Records, TVT Records","LP, Album",1989,2014-01-23 21:42:20
9 25993-1,Jane's Addiction,Ritual De Lo Habitual,Warner Bros. Records,"LP, Album",1990,2014-01-21 12:56:15
NRA23,Christ On A Crutch,Crime Pays When Pigs Die,New Red Archives,"LP, Album, Red",1991,2014-01-14 19:31:44
Lookout 059,Rancid,Rancid,Lookout! Records,"7""",1992,2011-03-17 08:00:38
659625 6,Fishbone,Swim,Columbia,"12"", Single, Ltd, cle",1993,2011-03-17 07:24:55
CR-035,The Devil Dogs,Saturday Night Fever,Crypt Records,"LP, Gre",1993,2014-01-23 21:55:15
"CR-035, CRLP 035",The Devil Dogs,Saturday Night Fever,"Crypt Records, Crypt Records","LP, Album",1993,2014-01-05 10:55:36
DC14,Pavement,Westing (By Musket And Sextant),Drag City,"LP, Comp",1993,2014-01-23 21:25:19
86429-1,Pennywise,Unknown Road,Epitaph,"LP, Album",1993,2014-07-10 22:28:57
FAT507-1,No Use For A Name,The Daily Grind,Fat Wreck Chords,"LP, Album",1993,2014-01-23 21:29:54
FAT508-7,Propagandhi,How To Clean A Couple O' Things,Fat Wreck Chords,"7"", Single",1993,2014-01-28 15:05:34
FAT509,Rancid,Radio Radio Radio,Fat Wreck Chords,"7"", EP",1993,2014-01-28 15:01:45
01241-41490-1,A Tribe Called Quest,Midnight Marauders,Jive,"LP, Album, Gre",1993,2011-05-07 21:21:38
BYO 029,Youth Brigade,"All Style, No Substance",Better Youth Organization,"7"", Single, Ora",1994,2011-03-17 07:58:52
86452S-7,Rancid,Roots Radicals,Epitaph,"7""",1994,2011-03-17 07:59:49
Number 94,Big Rig,Expansive Heart,Lookout! Records,"7""",1994,2010-09-27 11:18:07
858 894-7,The Mighty Mighty Bosstones / Kiss,Detroit Rock City,Mercury,"7"", Single, Ltd, Gre",1994,2011-03-17 07:53:02
EB001,The Casualties,A Fuckin' Way Of Life,Eyeball Records,"7"", EP",1995,2014-01-28 16:02:05
GR-155,John Coltrane,A Love Supreme,Impulse!,"LP, Album, Ltd, RE, RM, Gat",1995,2014-01-21 22:30:23
DMD 2244,CIV,Can't Wait One Minute More,Lava,"12"", Single",1995,2011-03-17 07:41:50
Lookout 114,The Queers,Move Back Home,Lookout! Records,"LP, Album",1995,2014-01-23 17:59:07
MCA-11179,Various,This Is Fort Apache,MCA Records,"LP, Comp",1995,2014-01-23 09:14:00
1580-1,The Vandals,Live Fast Diarrhea,Nitro Records,"LP, Album",1995,2014-01-27 15:13:39
86460-1,The Offspring,The Offspring,Nitro Records,"LP, Album, RE",1995,2014-01-23 21:27:03
SUMEP05,Brother Inferior,Bound And Gagged,Sensual Underground Ministries,"7"", EP",1995,2014-01-28 16:02:54
VD-005,U.S. Bombs,Put Strength In The Final Blow,Vinyl Dog Records,LP,1995,2015-02-27 11:07:58
7-87079,Bad Religion,Punk Rock Song,Atlantic,"7"", Ltd, Gra",1996,2011-03-17 07:17:56
82870-1,Bad Religion,The Gray Race,Atlantic,"LP, Album, Ltd, Gra",1996,2014-01-10 18:04:01
BYO 040,Hepcat,Scientific,Better Youth Organization,"LP, Album",1996,2011-03-17 07:17:10
74321-39227-1,Los Del Rio,Macarena (Non Stop),BMG U.S. Latin,"12""",1996,2014-01-22 09:48:35
FAT541-1,Goober Patrol,Vacation,Fat Wreck Chords,"LP, Album",1996,2014-01-16 17:41:31
FAT545-1,Swingin' Utters,A Juvenile Product Of The Working Class,Fat Wreck Chords,"LP, Album",1996,2014-07-12 18:29:53
FAT666-1,Propagandhi,"Less Talk, More Rock",Fat Wreck Chords,"LP, Album",1996,2014-07-10 22:41:47
"FAT539-1, FAT 539-1",Good Riddance,A Comprehensive Guide To Moderne Rebellion,"Fat Wreck Chords, Fat Wreck Chords","LP, Album",1996,2014-01-21 12:43:39
HR611-1,Nobodys,Short Songs For Short Attention Spans,Hopeless Records,"LP, Album",1996,2014-03-31 11:07:46
"OLE 161-1, OLE 161-1EP",Guided By Voices,Under The Bushes Under The Stars,"Matador, Matador","LP, Album + 12"", EP",1996,2011-05-21 19:25:18
NRA70,Anti-Flag,Die For The Government,New Red Archives,"LP, Album, Red",1996,2014-01-10 18:14:21
15805-1,AFI,Very Proud Of Ya,Nitro Records,"LP, Album",1996,2014-01-23 20:25:04
15806-1,The Vandals,The Quickening,Nitro Records,"LP, Album",1996,2011-05-21 19:27:45
ROR 004,Anti-Flag / Against All Authority,"Split 7""",Records Of Rebellion,"7""",1996,2011-03-17 07:22:09
17,Unsteady,Double Or Nothing,Asian Man Records,"LP, Album",1997,2014-01-05 10:54:12
86492-1,Voodoo Glow Skulls,Baile De Los Locos,Epitaph,"LP, Album",1997,2014-01-21 12:47:31
FAT 556-1,Snuff (3),Potatoes And Melons Wholesale Prices Straight From The Lock Up,Fat Wreck Chords,"LP, Album",1997,2014-01-26 23:52:16
FAT 559-1,Bracket,Novelty Forever,Fat Wreck Chords,LP,1997,2014-01-15 17:55:19
FAT557-1,No Use For A Name,Making Friends,Fat Wreck Chords,"LP, Album",1997,2014-01-23 21:29:26
LK174,Pansy Division,Queer To The Core,Lookout! Records,"7""",1997,2014-01-28 15:06:06
nir-032,Hot Water Music,Finding The Rhythms,No Idea Records,"LP, Album",1997,2016-01-30 11:28:48
"V 2821, 7243 8 42609 10",Daft Punk,Homework,"Virgin, Virgin","2xLP, Album, Emb",1997,2014-01-21 22:26:45
AF0045,The Unseen,Lower Class Crucifixion,A-F Records,"LP, Album, RE",1998,2014-02-08 21:11:11
Fat 562-1,Snuff (3),Tweet Tweet My Lovely,Fat Wreck Chords,"LP, Album",1998,2014-01-26 23:52:19
FAT 577-1,Goober Patrol,The Unbearable Lightness Of Being Drunk,Fat Wreck Chords,"LP, Album",1998,2014-01-16 17:41:02
GRO-LP 025,Laurel Aitken with The Skatalites,The Legendary Godfather Of Ska - Volume 2 - The Long Hot Summer (1963),Grover Records,"LP, Comp",1998,2014-01-21 12:41:40
RAD 70019-7,The Skoidats / Inspecter 7,Boots And Suits,Radical Records,"7""",1998,2011-03-17 07:48:37
none,Aus-Rotten,...And Now Back To Our Programming,Tribal War Records,"LP, Album, Blu",1998,2014-08-19 14:19:33
639217000178,Flogging Molly,Salty Dog,26f Records,"7"", Single, Gre",1999,2011-03-17 07:50:04
AF0006,The Unseen,So This Is Freedom?,A-F Records,"LP, Album",1999,2014-02-08 21:11:40
FAT592-1,Tilt (2),Viewers Like You,Fat Wreck Chords,"LP, Album",1999,2014-01-26 23:48:52
"FAT 584-1, fat 584-1, 584-1",Consumed,Hit For Six,"Fat Wreck Chords, Fat Wreck Chords, Fat Wreck Chords","LP, Album",1999,2014-01-21 22:25:51
"GK 050 LP, AF0005",Anti-Flag,A New Kind Of Army,"Go-Kart Records, A-F Records",LP,1999,2014-01-10 18:12:05
"LK226, PB277",Common Rider,Last Wave Rockers,"Lookout! Records, Panic Button","LP, Album",1999,2011-08-02 11:14:34
15824-1,AFI,Black Sails In The Sunset,Nitro Records,"LP, Album",1999,2016-03-13 23:05:44
TEMP 20,H2O (7),Old School Recess,Temperance Records,"7""",1999,2014-01-28 15:23:37
WAP105,Aphex Twin,Windowlicker,Warp Records,"12"", Single",1999,2012-08-22 09:50:34
BWR 7-90168-48382-8,The International Noise Conspiracy,Smash It Up!,Big Wheel Recreation,"7"", Whi",2000,2014-01-28 15:16:30
PC 06 EP,The Casualties,Who's In Control?,Punkcore Records,"7"", EP",2000,2014-01-28 16:00:24
SD1219,Flogging Molly,Swagger,SideOneDummy Records,"LP, Album, Ltd, Gre",2000,2015-07-14 21:40:40
DRR 63005-1,Various,Murder Was The Case (The Soundtrack),Death Row Records (2),"2xLP, Album, RE, RM",2001,2014-01-23 20:19:18
FAT 621-2,Frenzal Rhomb,Shut Your Mouth,Fat Wreck Chords,LP,2001,2014-01-16 17:40:37
FAT 626-1,Tilt (2),Been Where? Did What?,Fat Wreck Chords,"LP, Comp",2001,2014-01-26 23:51:15
FAT608-1,The Dickies,All This And Puppet Stew,Fat Wreck Chords,LP,2001,2014-01-22 12:43:56
FAT619-1,Zero Down,With A Lifetime To Pay,Fat Wreck Chords,"LP, Album",2001,2014-01-23 07:56:45
FAT623-1,Anti-Flag,Underground Network,Fat Wreck Chords,"LP, Album",2001,2014-01-10 18:15:35
FAT627-1,Snuff (3),Blue Gravy: Phase 9,Fat Wreck Chords,"10"", MiniAlbum, Blu",2001,2013-11-22 09:55:17
FAT631-1,MxPx,The Renaissance EP,Fat Wreck Chords,"12"", EP",2001,2014-01-23 21:52:36
HD5005-7,The International Noise Conspiracy,Capitalism Stole My Virginity,G7 Welcoming Committee Records,"7""",2001,2011-03-17 07:47:37
LK-271,Common Rider,Thief In A Sleeping Town,Lookout! Records,"7"", EP",2001,2011-03-17 07:54:22
SKULD 057,Aus-Rotten,The Rotten Agenda,Skuld Releases,LP,2001,2014-01-23 07:53:45
SP 550,The Shins,"Oh, Inverted World",Sub Pop,"LP, Album",2001,2014-01-26 23:52:22
TRR34,Explosions In The Sky,"Those Who Tell The Truth Shall Die, Those Who Tell The Truth Shall Live Forever",Temporary Residence Limited,"LP, Album",2001,2012-05-30 07:13:40
"V2940, 7243 8496061 2, 8496061",Daft Punk,Discovery,"Virgin, Virgin, Virgin","2xLP, Album",2001,2014-01-21 22:14:44
ALIVE 0044-1,The Black Keys,The Big Come Up,Alive Records,"LP, Album, Ltd, 180",2002,2014-01-14 19:24:54
